Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Vellore,11-08-2017,North,1542.0079547876085,0.12,401.28,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,11-08-2017,South,940.8740038422783,0.18,149.8,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,06-12-2017,West,3256.2544949917633,0.21,165.2,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,10-11-2016,South,1368.4634751341591,0.25,89.6,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,10-11-2016,South,3218.3068802526545,0.26,918.45,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,06-09-2015,West,3149.9814314232144,0.26,322.7,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,06-09-2015,West,1365.3129785609106,0.33,346.92,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,06-09-2015,West,2875.3051944745425,0.32,147.76,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,06-09-2015,West,1026.7595760725453,0.23,181.93,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,06-09-2015,West,2619.364527823681,0.27,484.65,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,06-09-2015,West,2185.8966130577887,0.13,437.69,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,06-09-2015,West,773.5023442747249,0.1,308.44,Tamil Nadu
OD13,Sharon,Snacks,Cookies,Dindigul,4/15/2018,South,2171.956540852805,0.19,315.21,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,12-05-2017,West,1511.5491127571993,0.25,63.85,Tamil Nadu
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,11/22/2016,Central,961.889328118167,0.22,207.75,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,11/22/2016,Central,1596.6305957893,0.11,100.8,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,11-11-2015,Central,2212.8069380078837,0.28,318.82,Tamil Nadu
OD18,Arutra,Beverages,Health Drinks,Bodi,5/13/2015,West,2128.658793680656,0.19,113.19,Tamil Nadu
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,8/27/2015,West,2519.8851699309234,0.35,386.54,Tamil Nadu
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,8/27/2015,West,895.2885838675979,0.29,159.16,Tamil Nadu
OD21,Hafiz,Beverages,Health Drinks,Vellore,8/27/2015,West,747.2768657377052,0.19,208.8,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,12-09-2017,Central,1111.4564067138765,0.13,47.4,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,12-09-2017,Central,1072.3442440714362,0.34,148.47,Tamil Nadu
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,7/16/2018,East,1252.4569007559162,0.29,77.52,Tamil Nadu
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,9/25/2016,West,1221.6179003022298,0.11,495.0,Tamil Nadu
OD26,Krithika,Snacks,Chocolates,Tirunelveli,1/16/2017,West,2378.058547639335,0.11,202.2,Tamil Nadu
OD27,Muneer,Snacks,Cookies,Trichy,1/16/2017,West,576.1112474614533,0.12,43.28,Tamil Nadu
OD28,Jackson,Bakery,Biscuits,Viluppuram,9/17/2016,East,1338.8508359960413,0.22,401.39,Tamil Nadu
OD29,Veronica,Beverages,Soft Drinks,Krishnagiri,9/17/2016,East,2524.633028444142,0.22,874.72,Tamil Nadu
OD30,Shah,Oil & Masala,Masalas,Kanyakumari,9/17/2016,East,1212.346488145445,0.17,69.23,Tamil Nadu
